学号,选择题1-10,填空题11-16,17,18,19,20,21,22,23,24,25,26,27,总分
0,20,12,6,6,6,6,6,6,6,6,6,7,7,100
3130001114,8,0,3,0,0,1,1,0,0,0,0,3,3,19
3131000113,0,1,0,0,2,0,0,0,0,1,0,0,0,4
3131000542,8,1,0,0,0,2,1,0,0,0,0,3,3,18
4140001106,10,4,0,0,5,0,1,0,0,0,0,5,3,28
4140001129,4,0,0,0,3,0,0,0,0,0,0,0,0,7
4140002125,8,7,3,6,6,2,5,2,4,0,0,4,0,47
4141000120,10,2,0,0,0,0,0,0,0,0,0,3,3,18
4141000138,6,0,0,0,0,0,0,0,0,0,0,0,3,9
4141000139,0,0,0,0,6,0,0,0,0,0,0,0,0,6
4141000801,8,2,0,0,0,0,1,0,0,0,0,0,3,14
4141000907,8,0,0,1,4,0,2,0,0,0,0,3,3,21
4141441120,6,4,3,2,6,0,3,0,6,0,0,3,3,36
5150002110,12,6,1,4,6,5,4,4,4,2,0,3,0,51
5150002112,12,4,0,6,6,5,3,6,6,5,6,3,3,65
5150002125,16,4,6,4,5,6,6,5,6,2,5,0,3,68
5151000639,2,0,0,0,0,0,0,0,0,0,0,0,0,2
5151000825,8,6,0,2,2,0,0,0,0,0,0,5,0,23
1551000201,16,8,0,0,0,0,0,0,0,0,0,0,0,24
6160001119,10,2,0,0,0,0,0,1,0,0,0,0,3,16
6161441128,12,6,0,6,6,1,5,0,3,2,0,7,3,51
7170001101,18,10,6,5,6,5,6,6,6,3,6,7,3,87
7170001102,10,3,5,0,5,0,6,1,4,4,0,0,3,41
7170001103,20,12,6,6,6,6,6,6,6,6,6,7,7,100
7170001104,14,9,1,0,6,6,3,3,5,2,0,3,3,55
7170001105,12,9,0,6,6,0,5,3,5,5,1,3,3,58
7170001106,10,4,4,0,6,0,6,4,0,0,0,7,3,44
7170001107,18,6,0,6,6,1,3,1,4,6,0,3,3,57
7170001108,18,12,6,6,6,3,5,6,4,6,1,0,7,80
7170001109,18,2,5,0,0,6,6,0,3,0,0,3,3,46
7170001110,20,12,6,6,5,6,6,6,6,6,6,7,7,99
7170001111,10,8,5,5,3,6,6,3,6,5,0,3,3,63
7170001112,12,6,6,6,6,6,3,4,5,2,0,3,6,65
7170001113,18,12,6,6,6,3,6,3,6,3,0,7,4,80
7170001114,16,7,4,2,6,6,6,5,4,2,1,7,4,70
7170001115,14,3,5,5,5,2,5,6,3,6,0,4,3,61
7170001116,20,12,6,6,6,5,6,5,6,5,5,3,3,88
7170001117,8,4,5,1,5,0,0,0,0,0,0,0,3,26
7170001118,18,6,6,6,6,6,3,3,6,2,0,7,0,69
7170001119,10,0,0,4,5,0,2,0,0,0,0,3,3,27
7170001120,12,3,5,0,5,5,0,0,3,3,0,4,3,43
7170001121,16,8,6,6,6,6,4,4,3,6,0,7,0,72
7170001122,14,10,6,6,6,4,6,4,5,5,6,3,3,78
7170001123,14,0,0,0,0,1,1,0,4,2,0,3,3,28
7170001124,18,7,6,4,6,6,6,1,5,5,0,3,3,70
7170001125,16,5,6,6,3,2,3,0,4,0,0,0,3,48
7170001126,20,12,6,6,6,6,1,3,5,3,0,3,3,74
7170001127,8,0,0,1,5,2,3,0,5,3,0,4,3,34
7170001128,16,8,5,6,6,1,3,4,4,0,0,3,3,59
